eng,rus
a,а
ai,ай
a1i,а1й
a2i,а2й
a3i,а3й
a4i,а4й
ai1,ай1
ai2,ай2
ai3,ай3
ai4,ай4
an,ан
a1n, а1н
a2n, а2н
a3n, а3н
a4n, а4н
ang,анъ
a1ng, ан1ъ
a2ng, ан2ъ
a3ng, ан3ъ
a4ng, ан4ъ
ao,ао
a1o,а1о
a2o,а2о
a3o,а3о
a4o,а4о
ba,ба
ba1,ба1
ba2,ба2
ba3,ба3
ba4,ба4
be,бэ
be1,бэ1
be2,бэ2
be3,бэ3
be4,бэ4
bai,бай
ba1i,ба1й
ba2i,ба2й
ba3i,ба3й
ba4i,ба4й
ban,бан
ba1n,ба1н
ba2n,ба2н
ba3n,ба3н
ba4n,ба4н
bang,банъ
ba1ng,ба1нъ
ba2ng,ба2нъ
ba3ng,ба3нъ
ba4ng,ба4нъ
bao,бао
ba1o,ба1о
ba2o,ба2о
ba3o,ба3о
ba4o,ба4о
bei,бэй
be1i,бэ1й
be2i,бэ2й
be3i,бэ3й
be4i,бэ4й
ben,бэн
be1n,бэ1н
be2n,бэ2н
be3n,бэ3н
be4n,бэ4н
beng,бэнъ
be1ng,бэ1нъ
be2ng,бэ2нъ
be3ng,бэ3нъ
be4ng,бэ4нъ
bi,би
bi1,би1
bi2,би2
bi3,би3
bi4,би4
bian,бьен
bi1an,бье1н
bi2an,бье2н
bi3an,бье3н
bi4an,бье4н
biao,бьяо
bia1o,бья1о
bia2o,бья2о
bia3o,бья3о
bia4o,бья4о
bie,бье
bie1,бье1
bie2,бье2
bie3,бье3
bie4,бье4
bin,бин
bi1n,би1н
bi2n,би2н
bi3n,би3н
bi4n,би4н
bing,бинъ
bi1ng,бин1ъ
bi2ng,бин2ъ
bi3ng,бин3ъ
bi4ng,бин4ъ
bo,бо
bo1,бо1
bo2,бо2
bo3,бо3
bo4,бо4
bu,бу
bu1,бу1
bu2,бу2
bu3,бу3
bu4,бу4
ca,цха
ca1,цха1
ca2,цха2
ca3,цха3
ca4,цха4
cai,цхай
ca1i,цха1й
ca2i,цха2й
ca3i,цха3й
ca4i,цха4й
can,цхан
ca1n,цха1н
ca2n,цха2н
ca3n,цха3н
ca4n,цха4н
cang,цханъ
ca1ng,цха1нъ
ca2ng,цха2нъ
ca3ng,цха3нъ
ca4ng,цха4нъ
cao,цхао
ca1o,цха1о
ca2o,цха2о
ca3o,цха3о
ca4o,цха4о
ce,цхэ
ce1,цхэ1
ce2,цхэ2
ce3,цхэ3
ce4,цхэ4
cen,цхэн
ce1n,цхэ1н
ce2n,цхэ2н
ce3n,цхэ3н
ce4n,цхэ4н
ceng,цхэнъ
ce1ng,цхэ1нъ
ce2ng,цхэ2нъ
ce3ng,цхэ3нъ
ce4ng,цхэ4нъ
cha,чха
cha1,чха1
cha2,чха2
cha3,чха3
cha4,чха4
chai,чхай
cha1i,чха1й
cha2i,чха2й
cha3i,чха3й
cha4i,чха4й
chan,чхан
cha1n,чха1н
cha2n,чха2н
cha3n,чха3н
cha4n,чха4н
chang,чханъ
cha1ng,чха1нъ
cha2ng,чха2нъ
cha3ng,чха3нъ
cha4ng,чха4нъ
chao,чхао
cha1o,чха1о
cha2o,чха2о
cha3o,чха3о
cha4o,чха4о
che,чхэ
che1,чхэ1
che2,чхэ2
che3,чхэ3
che4,чхэ4
chen,чхэн
che1n,чхэ1н
che2n,чхэ2н
che3n,чхэ3н
che4n,чхэ4н
cheng,чхэнъ
che1ng,чхэ1нъ
che2ng,чхэ2нъ
che3ng,чхэ3нъ
che4ng,чхэ4нъ
chi,чши
chi1,чши1
chi2,чши2
chi3,чши3
chi4,чши4
chong,чхунъ
cho1ng,чху1нъ
cho2ng,чху2нъ
cho3ng,чху3нъ
cho4ng,чху4нъ
chou,чхоу
cho1u,чхо1у
cho2u,чхо2у
cho3u,чхо3у
cho4u,чхо4у
chou1,чхоу1
chou2,чхоу2
chou3,чхоу3
chou4,чхоу4
chu,чху
chu1,чху1
chu2,чху2
chu3,чху3
chu4,чху4
chuai,чхуай
chu1ai,чху1ай
chu2ai,чху2ай
chu3ai,чху3ай
chua4i,чху4ай
chua1i,чхуа1й
chua2i,чхуа2й
chua3i,чхуа3й
chua4i,чхуа4й
chuai1,чхуай1
chuai2,чхуай2
chuai3,чхуай3
chuai4,чхуай4
chuan,чхуан
chu1an,чху1ан
chu2an,чху2ан
chu3an,чху3ан
